acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,9/1/15,1,11.6793745,0,0
0,10/1/15,2,37.28488733,0,0
0,11/1/15,2,53.63374633,0,0
0,12/1/15,1,33.48926967,0,0
0,13/1/15,1,64.77967767,0,0
0,14/1/15,1,151.6175768,1,0
0,15/1/15,1,142.3959638,0,0
0,16/1/15,0,0,0,0
0,17/1/15,1,9.8495625,0,0
0,18/1/15,1,38.330548,0,0
0,19/1/15,1,98.3275675,1,0
0,20/1/15,0,0,0,0
0,21/1/15,0,0,0,0
0,22/1/15,1,218.3096902,1,0
0,23/1/15,1,280.7733192,1,0
0,24/1/15,1,32.27602017,0,0
0,25/1/15,1,65.467882,0,0
0,26/1/15,1,74.806089,1,0
0,27/1/15,1,199.5010495,1,0
0,28/1/15,1,55.23495933,0,0
0,29/1/15,1,212.6456687,1,0
0,30/1/15,1,96.00371917,1,0
0,31/1/15,1,94.333214,0,0
0,1/2/15,1,40.564986,1,0
0,2/2/15,2,75.525712,0,0
0,3/2/15,1,147.728229,0,0
0,4/2/15,1,38.52997017,1,0
0,5/2/15,2,84.95653433,0,0
0,6/2/15,1,101.3783303,1,0
0,7/2/15,1,104.065235,1,0
0,8/2/15,0,0,0,0
0,9/2/15,1,102.0631568,0,0
0,10/2/15,1,104.6797623,1,0
0,11/2/15,1,401.115233,2,0
0,12/2/15,1,75.988601,0,0
0,13/2/15,1,29.54253767,1,0
0,14/2/15,1,111.8835475,0,0
0,15/2/15,0,0,0,0
0,16/2/15,0,0,0,0
0,17/2/15,0,0,0,0
0,18/2/15,0,0,0,0
0,19/2/15,0,0,0,0
0,20/2/15,1,32.65054483,0,0
0,21/2/15,1,62.90922533,0,0
0,22/2/15,1,77.89106817,1,0
0,23/2/15,1,149.8862248,0,0
0,24/2/15,0,0,0,0
0,25/2/15,1,148.0621588,1,0
0,26/2/15,2,42.34054917,1,0
0,27/2/15,2,32.479962,0,0
0,28/2/15,0,0,0,0
0,1/3/15,2,76.54511267,0,0
0,2/3/15,2,52.32868683,0,0
0,3/3/15,2,72.93125283,0,0
0,4/3/15,2,75.3168575,0,0
0,5/3/15,1,58.72874733,0,0
0,6/3/15,2,61.35937317,0,0
0,7/3/15,0,0,0,0
0,8/3/15,0,0,0,0
0,9/3/15,1,13.03449133,0,0
0,10/3/15,2,238.2826777,1,0
0,11/3/15,2,90.317473,0,0
0,12/3/15,1,20.36500967,0,0
0,13/3/15,0,0,0,0
0,14/3/15,0,0,0,0
0,15/3/15,0,0,0,0
0,16/3/15,2,164.3013078,0,0
0,17/3/15,2,13.61274017,0,0
0,18/3/15,2,28.96736533,1,0
0,19/3/15,0,0,0,0
0,20/3/15,0,0,0,0
0,21/3/15,0,0,0,0
0,22/3/15,0,0,0,0
0,23/3/15,1,35.68798383,0,0
0,24/3/15,1,142.7344815,1,0
0,25/3/15,1,175.6848335,1,0
0,26/3/15,1,50.231326,1,0
0,27/3/15,0,0,0,0
0,28/3/15,0,0,0,0
0,29/3/15,0,0,0,0
0,30/3/15,0,0,0,0
0,31/3/15,1,173.54588,1,0
0,1/4/15,1,214.8372178,3,0
0,2/4/15,0,0,0,0
0,3/4/15,1,59.07321333,1,0
0,4/4/15,1,35.71483,0,0
0,5/4/15,1,103.655366,1,0
0,6/4/15,1,171.518927,1,0
0,7/4/15,1,14.39983867,0,0
0,8/4/15,2,115.6906042,2,0
0,9/4/15,1,235.6872318,2,0
0,10/4/15,0,0,0,0
0,11/4/15,1,41.95401133,0,0
0,12/4/15,1,17.41569967,0,0
0,13/4/15,1,10.47543133,0,0
0,14/4/15,1,37.04264833,0,0
0,15/4/15,0,0,0,0
0,16/4/15,0,0,0,0
0,17/4/15,0,0,0,0
0,18/4/15,0,0,0,0
0,19/4/15,0,0,0,0
0,20/4/15,1,25.2435245,0,0
0,21/4/15,1,7.104640667,0,0
0,22/4/15,0,0,0,0
0,23/4/15,0,0,0,1
0,24/4/15,0,0,0,0
0,25/4/15,0,0,0,0
0,26/4/15,0,0,0,0
0,27/4/15,0,0,0,0
0,28/4/15,1,3.130197667,0,0
0,29/4/15,0,0,0,0
0,30/4/15,0,0,0,0
0,1/5/15,0,0,0,0
0,2/5/15,0,0,0,0
0,3/5/15,0,0,0,0
0,4/5/15,0,0,0,0
0,5/5/15,0,0,0,0
0,6/5/15,0,0,0,0
0,7/5/15,0,0,0,0
