account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
448,canceled,10/11/14,14/1/15,65,TRUE,TRUE
448,canceled,5/11/14,10/11/14,5,TRUE,TRUE
448,canceled,27/1/15,27/1/15,0,TRUE,TRUE
448,canceled,10/11/14,10/11/14,0,TRUE,TRUE
448,current,10/3/15,,,TRUE,FALSE
448,canceled,14/1/15,27/1/15,13,TRUE,TRUE
448,canceled,27/1/15,10/3/15,42,TRUE,TRUE
448,canceled,27/1/15,27/1/15,0,TRUE,TRUE
448,canceled,27/1/15,27/1/15,0,TRUE,TRUE
700,canceled,10/11/14,16/11/14,6,FALSE,TRUE
429,canceled,10/11/14,10/3/15,120,FALSE,TRUE
429,canceled,10/3/15,17/6/15,99,FALSE,TRUE
60,canceled,10/11/14,14/1/15,65,FALSE,TRUE
60,canceled,14/1/15,1/4/15,77,FALSE,TRUE
60,current,1/4/15,,,FALSE,FALSE
1300,canceled,10/11/14,16/11/14,6,FALSE,TRUE
369,current,10/11/14,,,FALSE,FALSE
322,canceled,10/11/14,2/2/15,84,FALSE,TRUE
322,canceled,12/2/15,12/2/15,0,FALSE,TRUE
322,canceled,12/2/15,10/3/15,26,FALSE,TRUE
322,current,10/3/15,,,FALSE,FALSE
336,current,10/11/14,,,FALSE,FALSE
553,current,10/11/14,,,FALSE,FALSE
584,canceled,10/11/14,14/1/15,65,FALSE,TRUE
584,canceled,14/1/15,10/3/15,55,FALSE,TRUE
584,current,10/3/15,,,FALSE,FALSE
1006,canceled,10/11/14,17/11/14,7,FALSE,TRUE
458,canceled,10/11/14,1/4/15,142,FALSE,TRUE
458,canceled,4/4/15,6/4/15,2,FALSE,TRUE
458,current,6/4/15,,,FALSE,FALSE
1058,canceled,10/11/14,14/1/15,65,FALSE,TRUE
1058,canceled,14/1/15,10/3/15,55,FALSE,TRUE
1058,current,10/3/15,,,FALSE,FALSE
206,current,10/11/14,,,FALSE,FALSE
45,canceled,10/11/14,10/3/15,120,FALSE,TRUE
45,current,10/3/15,,,FALSE,FALSE
315,canceled,10/11/14,17/5/15,188,FALSE,TRUE
604,current,10/11/14,,,FALSE,FALSE
204,current,10/11/14,,,FALSE,FALSE
408,canceled,10/11/14,10/3/15,120,FALSE,TRUE
408,canceled,10/3/15,1/4/15,22,FALSE,TRUE
408,canceled,1/4/15,17/4/15,16,FALSE,TRUE
51,canceled,10/11/14,10/3/15,120,FALSE,TRUE
51,canceled,10/3/15,17/6/15,99,FALSE,TRUE
323,canceled,10/11/14,17/4/15,158,FALSE,TRUE
568,current,10/11/14,,,FALSE,FALSE
130,canceled,10/11/14,10/3/15,120,FALSE,TRUE
130,canceled,10/3/15,1/4/15,22,FALSE,TRUE
130,canceled,1/4/15,17/6/15,77,FALSE,TRUE
550,canceled,10/11/14,2/5/15,173,FALSE,TRUE
550,canceled,28/5/15,4/7/15,37,FALSE,TRUE
44,canceled,10/11/14,10/3/15,120,FALSE,TRUE
44,current,10/3/15,,,FALSE,FALSE
1020,canceled,10/11/14,15/11/14,5,FALSE,TRUE
838,canceled,10/11/14,11/11/14,1,FALSE,TRUE
198,current,10/11/14,,,FALSE,FALSE
368,current,10/11/14,,,FALSE,FALSE
440,canceled,11/11/14,18/2/15,99,FALSE,TRUE
675,canceled,11/11/14,16/11/14,5,FALSE,TRUE
57,canceled,11/11/14,18/2/15,99,FALSE,TRUE
57,current,6/5/15,,,FALSE,FALSE
1090,canceled,11/11/14,26/11/14,15,FALSE,TRUE
541,canceled,12/11/14,19/6/15,219,FALSE,TRUE
756,canceled,12/11/14,15/11/14,3,FALSE,TRUE
756,canceled,15/11/14,15/1/15,61,FALSE,TRUE
1219,canceled,12/11/14,12/11/14,0,FALSE,TRUE
101,canceled,12/11/14,20/4/15,159,FALSE,TRUE
1021,canceled,12/11/14,17/11/14,5,FALSE,TRUE
1108,canceled,12/11/14,16/11/14,4,FALSE,TRUE
800,canceled,12/11/14,14/11/14,2,FALSE,TRUE
800,canceled,4/3/15,11/5/15,68,FALSE,TRUE
702,canceled,13/11/14,15/11/14,2,FALSE,TRUE
702,canceled,15/11/14,14/1/15,60,FALSE,TRUE
702,canceled,14/1/15,10/3/15,55,FALSE,TRUE
702,current,10/3/15,,,FALSE,FALSE
871,canceled,13/11/14,13/11/14,0,FALSE,TRUE
38,current,14/11/14,,,FALSE,FALSE
215,current,14/11/14,,,FALSE,FALSE
744,canceled,14/11/14,21/12/14,37,FALSE,TRUE
217,canceled,14/11/14,15/11/14,1,FALSE,TRUE
217,canceled,15/11/14,10/3/15,115,FALSE,TRUE
217,current,10/3/15,,,FALSE,FALSE
1221,canceled,14/11/14,21/11/14,7,FALSE,TRUE
1211,canceled,14/11/14,15/11/14,1,FALSE,TRUE
1211,canceled,15/11/14,15/1/15,61,FALSE,TRUE
1211,current,6/3/15,,,FALSE,FALSE
1051,canceled,14/11/14,16/11/14,2,FALSE,TRUE
1286,canceled,14/11/14,21/11/14,7,FALSE,TRUE
53,canceled,14/11/14,21/12/14,37,FALSE,TRUE
53,current,11/5/15,,,FALSE,FALSE
895,canceled,14/11/14,19/11/14,5,FALSE,TRUE
895,canceled,11/11/14,11/11/14,0,FALSE,TRUE
283,current,15/11/14,,,FALSE,FALSE
283,canceled,13/11/14,15/11/14,2,FALSE,TRUE
338,canceled,15/11/14,14/1/15,60,FALSE,TRUE
338,canceled,14/1/15,3/2/15,20,FALSE,TRUE
338,canceled,3/2/15,22/2/15,19,FALSE,TRUE
338,current,11/5/15,,,FALSE,FALSE
579,current,15/11/14,,,FALSE,FALSE
903,canceled,16/11/14,21/11/14,5,FALSE,TRUE
627,current,16/11/14,,,FALSE,FALSE
253,canceled,16/11/14,14/1/15,59,FALSE,TRUE
253,current,14/1/15,,,FALSE,FALSE
861,canceled,16/11/14,19/11/14,3,FALSE,TRUE
178,canceled,17/11/14,9/5/15,173,FALSE,TRUE
822,canceled,17/11/14,15/1/15,59,FALSE,TRUE
822,current,18/7/15,,,FALSE,FALSE
96,current,17/11/14,,,FALSE,FALSE
123,canceled,10/11/14,10/3/15,120,FALSE,TRUE
123,canceled,10/3/15,17/4/15,38,FALSE,TRUE
943,canceled,10/11/14,17/11/14,7,FALSE,TRUE
620,current,10/11/14,,,FALSE,FALSE
1204,canceled,10/11/14,17/12/14,37,FALSE,TRUE
195,current,10/11/14,,,FALSE,FALSE
890,canceled,10/11/14,11/11/14,1,FALSE,TRUE
354,current,10/11/14,,,FALSE,FALSE
837,canceled,10/11/14,11/11/14,1,FALSE,TRUE
114,canceled,10/11/14,11/11/14,1,FALSE,TRUE
114,current,8/5/15,,,FALSE,FALSE
810,canceled,10/11/14,13/11/14,3,FALSE,TRUE
394,canceled,10/11/14,17/4/15,158,FALSE,TRUE
1253,canceled,10/11/14,14/1/15,65,FALSE,TRUE
1253,canceled,14/1/15,20/1/15,6,FALSE,TRUE
504,canceled,10/11/14,17/6/15,219,FALSE,TRUE
